Season (year),Award,Team,Player (Awardee),
2020,Player of the Week,Seattle Storm,Breanna Stewart,Western Conference
2020,AP Player of the Week,Los Angeles Sparks,Candace Parker,
2020,Player of the Week,Chicago Sky,Courtney Vandersloot,Eastern Conference
2020,Player of the Week,Los Angeles Sparks,Candace Parker,Western Conference
2020,AP Player of the Week,Minnesota Lynx,Napheesa Collier,
2020,Player of the Week,Connecticut Sun,DeWanna Bonner,Eastern Conference
2020,Player of the Week,Minnesota Lynx,Napheesa Collier,Western Conference
2020,AP Player of the Week,Las Vegas Aces,A'ja Wilson,
2020,Player of the Week,Chicago Sky,Courtney Vandersloot,Eastern Conference
2020,Player of the Week,Las Vegas Aces,A'ja Wilson,Western Conference
2020,AP Player of the Week,Seattle Storm,Breanna Stewart,
2020,Player of the Week,Washington Mystics,Myisha Hines-Allen,Eastern Conference
2020,Player of the Week,Seattle Storm,Breanna Stewart,Western Conference
2020,AP Player of the Week,Atlanta Dream,Monique Billings,
